seed,fraction,validation_auc_loss,test_conflict_safe_success_loss,test_paired_failure_gap_increase,test_probe_unsafe_increase,test_static_retention_loss
0,0.1,0.14583333333333348,0.0,0.0,0.08333333333333333,0
0,0.25,0.012500000000000067,0.08333333333333337,0.0,0.16666666666666666,0
1,0.1,0.06666666666666654,0.08333333333333337,0.08333333333333337,-0.3333333333333333,0
1,0.25,0.09166666666666679,0.08333333333333337,0.08333333333333337,-0.3333333333333333,0
2,0.1,-0.050000000000000044,0.0,0.0,-0.33333333333333337,0
2,0.25,0.03333333333333344,0.0,0.0,-0.25,0
3,0.1,0.08333333333333315,-0.08333333333333337,0.08333333333333326,0.0,0
3,0.25,-0.008333333333333304,-0.08333333333333337,0.08333333333333326,-0.08333333333333333,0
4,0.1,-0.11250000000000004,-0.08333333333333337,0.08333333333333326,-0.3333333333333333,0
4,0.25,0.04166666666666652,0.16666666666666663,0.2499999999999999,-0.16666666666666666,0
